runID,seqNo,matchFound,matchID,matchSeq,matchConfidence,matchRemarks,matchStatus,matchDate,nature,teamOrArea,personInCharge,companyCode,account,documentNumber,documentDate,postingDate,entryDate,documentType,profitCenter,reference,referenceKey2,assignment,documentHeaderText,text,postingKey,documentCurrency,amountInDocCurr,localCurrency,amountInLocalCurrency,username,postingPeriod,yearMonth,absoluteValue,usdAmount,days,agingBracket
1,1,X,1,1,100,FULL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100013,600000788,17/10/24,17/10/24,18/10/24,EB,CONSUMER,100010,CITBO,20241017,GTSC,NONREF 399?00TRANSFER RJCT O RECVE O/E?27/REF/NONR,50,COP,"-72,43,87,00,000.00",COP,"-72,43,87,00,000.00",USR_WM_SYMP,10,2024/10,"37,91,00,00,000.00","-92,42,458.00",116,91 to 120 days
1,2,X,1,2,100,FULL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100013,600000792,17/10/24,17/10/24,22/10/24,EB,CONSUMER,100011,CITBO,20241017,GTSC,NONREF 399?00TRANSFER RJCT O RECVE O/E?27/REF/NONR,40,COP,"72,43,87,00,000.00",COP,"72,43,87,00,000.00",USR_WM_SYMP,10,2024/10,"37,91,00,00,000.00","92,42,458.00",116,91 to 120 days
1,3,X,2,1,70,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100023,600000163,10/03/25,10/03/25,11/03/25,EB,CONSUMER,100013,BCOCA,20250310,GTSC,000000000 NONREF ADICION O CONSIGNACION,50,COP,"-55,00,00,00,000.00",COP,"-55,00,00,00,000.00",USR_WM_SYMP,3,2025/03,"6,36,33,48,164.00","-15,51,384.28",100,91 to 120 days
1,4,X,2,2,70,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100036,600000167,10/03/25,10/03/25,11/03/25,EB,CONSUMER,100013,BCOME,20250310,GTSC,000000000 2922 TRASLADO A FONDO DE INVERSION NONRE,40,COP,"55,00,00,00,000.00",COP,"55,00,00,00,000.00",USR_WM_SYMP,3,2025/03,"4,62,81,01,832.00","11,28,331.23",107,91 to 120 days
1,5,X,2,3,70,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100013,600000171,12/03/25,12/03/25,13/03/25,EB,CONSUMER,100013,CITBO,20250312,GTSC,PAGOS 399?00SAVING TRANSACTIONS?27/REF/PAGOS?32/EI,50,COP,"-54,20,30,00,000.00",COP,"-54,20,30,00,000.00",USR_WM_SYMP,3,2025/03,"4,27,45,68,491.00","-10,42,139.80",117,91 to 120 days
1,6,X,3,1,80,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100026,600000173,12/03/25,12/03/25,13/03/25,EB,CONSUMER,100013,BCOCA,20250312,GTSC,000000000 NONREF RETIRO PARCIAL,40,COP,"54,20,30,00,000.00",COP,"54,20,30,00,000.00",USR_WM_SYMP,3,2025/03,"4,27,45,68,491.00","10,42,139.80",117,91 to 120 days
1,7,X,3,2,80,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100013,600000051,24/01/25,24/01/25,27/01/25,EB,CONSUMER,100012,CITBO,20250124,GTSC,06502432EAC01 399?00MISC?27/REF/S06502432EAC01?32/,50,COP,"-42,25,00,00,000.00",COP,"-42,25,00,00,000.00",USR_WM_SYMP,1,2025/01,"4,25,81,21,000.00","-10,38,129.90",104,91 to 120 days
1,8,X,4,1,40,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100013,600000063,24/01/25,24/01/25,28/01/25,EB,CONSUMER,100012,CITBO,20250124,GTSC,06502432EAC01 399?00MISC?27/REF/S06502432EAC01?32/,40,COP,"42,25,00,00,000.00",COP,"42,25,00,00,000.00",USR_WM_SYMP,1,2025/01,"3,52,91,11,000.00","8,60,397.26",104,91 to 120 days
1,9,X,4,2,40,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100013,600000904,04/12/24,04/12/24,05/12/24,EB,CONSUMER,100011,CITBO,20241204,GTSC,0643392EBCB01 399?00MISC?27/REF/S0643392EBCB01?32/,50,COP,"-37,91,00,00,000.00",COP,"-37,91,00,00,000.00",USR_WM_SYMP,12,2024/12,"3,43,72,64,230.00","-8,38,005.02",118,91 to 120 days
1,10,X,5,1,60,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100013,600000909,04/12/24,04/12/24,06/12/24,EB,CONSUMER,100011,CITBO,20241204,GTSC,0643392EBCB01 399?00MISC?27/REF/S0643392EBCB01?32/,40,COP,"37,91,00,00,000.00",COP,"37,91,00,00,000.00",USR_WM_SYMP,12,2024/12,"3,43,72,64,230.00","8,38,005.02",118,91 to 120 days
1,11,X,5,2,60,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100023,600000752,03/10/24,03/10/24,04/10/24,EB,CONSUMER,100010,BCOCA,20241003,GTSC,000000000 NONREF ADICION O CONSIGNACION,50,COP,"-20,00,00,00,000.00",COP,"-20,00,00,00,000.00",USR_WM_SYMP,10,2024/10,"3,36,02,14,338.00","-8,19,220.26",104,91 to 120 days
1,12,X,5,3,60,PARTIAL,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100036,600000752,03/10/24,03/10/24,04/10/24,EB,CONSUMER,100010,BCOME,20241003,GTSC,000000000 2922 TRASLADO A FONDO DE INVERSION NONRE,40,COP,"20,00,00,00,000.00",COP,"20,00,00,00,000.00",USR_WM_SYMP,10,2024/10,"3,36,02,14,338.00","8,19,220.26",104,91 to 120 days
1,13,,6,1,0,NONE,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100013,600000754,04/10/24,04/10/24,07/10/24,EB,CONSUMER,100010,CITBO,20241004,GTSC,PAGOS 399?00SAVING TRANSACTIONS?27/REF/PAGOS?32/EI,50,COP,"-19,85,21,65,000.00",COP,"-19,85,21,65,000.00",USR_WM_SYMP,10,2024/10,"2,87,94,86,815.19","7,02,018.89",118,91 to 120 days
1,14,,7,1,0,NONE,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100026,600000757,04/10/24,04/10/24,08/10/24,EB,CONSUMER,100010,BCOCA,20241004,GTSC,000000000 NONREF RETIRO PARCIAL,40,COP,"19,85,21,65,000.00",COP,"19,85,21,65,000.00",USR_WM_SYMP,10,2024/10,"2,87,94,86,815.19","-7,02,018.89",118,91 to 120 days
1,15,,8,1,0,NONE,COMPLETED,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100026,600000190,20/03/25,20/03/25,21/03/25,EB,CONSUMER,100013,BCOCA,20250320,GTSC,000000000 NONREF RETIRO PARCIAL,40,COP,"15,50,00,00,000.00",COP,"15,50,00,00,000.00",USR_WM_SYMP,3,2025/03,"2,72,60,01,900.00","6,64,599.26",117,91 to 120 days
1,16,,9,1,0,NONE,WIP,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100043,600000190,20/03/25,20/03/25,21/03/25,EB,CONSUMER,100013,BBVBO,20250320,GTSC,NONREF /EREF/NONREF2025032010/TCODE/954/REMI/ABONO,50,COP,"-15,50,00,00,000.00",COP,"-15,50,00,00,000.00",USR_WM_SYMP,3,2025/03,"2,72,60,01,900.00","-6,64,599.26",116,91 to 120 days
1,17,,10,1,0,NONE,WIP,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100016,600000182,18/03/25,18/03/25,19/03/25,EB,CONSUMER,100013,CITBO,20250318,GTSC,0250774283 699?00DEBIT FOR FUNDS TRANSFER?27/REF/0,40,COP,"15,00,00,00,000.00",COP,"15,00,00,00,000.00",USR_WM_SYMP,3,2025/03,"2,50,97,97,166.94","6,11,888.55",103,91 to 120 days
1,18,,11,1,0,NONE,WIP,03/07/25,bank,finance team,debjani.jena@innovervglobal.com,7755,1111100023,600000182,18/03/25,18/03/25,19/03/25,EB,CONSUMER,100013,BCOCA,20250318,GTSC,000000000 NONREF ADICION O CONSIGNACION,50,COP,"-15,00,00,00,000.00",COP,"-15,00,00,00,000.00",USR_WM_SYMP,3,2025/03,"2,50,97,97,166.94","-6,11,888.55",104,91 to 120 days
